,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,OperationTime,Address
55,백종원의인생설렁탕-경희대점,fx**님,"인생설렁탕/1(사이드 추가(만두3ea,공기밥),사리 추가(소면)),인생설렁탕/1(사이드 추가(공기밥))",그저 그래요... 먹을만한데 ..그냥 그래요 ㅠ 뭣보다 국물이 식어서 와서 실망이 컸다는...,3,3,2,2,2020년 11월 15일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
56,백종원의인생설렁탕-경희대점,tr**님,"인생설렁탕/1,시래기된장설렁탕/1,육쌈밀전/1",깔끔하게 맛있어요!!!,5,5,5,5,2020년 11월 8일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
57,백종원의인생설렁탕-경희대점,cy**님,설렁탕＋만두2ea/1,1. 맛있게 잘먹었습니다. 2. 다만 간이 조금 싱거운 편이여서 짜게 드시는분들은 간을 요청하셔야 할것 같아요,5,5,5,5,2020년 11월 5일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
58,백종원의인생설렁탕-경희대점,je**님,인생설렁탕＋불스지/1,맛있게 잘 먹었습니다,5,5,5,5,2020년 11월 2일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
59,백종원의인생설렁탕-경희대점,kh**님,설렁탕1＋1/1,배달두 빠르고 설렁탕도 맛있네요 비조리로 팩에 담겨서 오는거두 너무 괜찮네요^^,5,5,5,5,2020년 10월 29일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
60,백종원의인생설렁탕-경희대점,a0**님,불스지/1,매콤하고 너무 맛있어요!!,5,5,5,,2020년 10월 27일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
61,백종원의인생설렁탕-경희대점,su**님,"인생설렁탕/2,얼큰수육전골/1",육수가 찐이네요. 근데 설렁탕육수양을 좀늘려주심이... 국물호로록하며 마시고싶은데 육수가 적어서 말아먹기엔 육수가 사라지고ㅜㅜ 그게 아쉬워요.,5,5,5,5,2020년 10월 27일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
62,백종원의인생설렁탕-경희대점,sl**님,"인생설렁탕/2,육쌈밀전/1",넘 맛있게 먹었어요~^^맛있어서 그런지 양이 적은것 같아요,5,5,3,5,2020년 10월 20일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
63,백종원의인생설렁탕-경희대점,su**님,"인생설렁탕/1,얼큰수육전골/1,모둠수육/1",간이 되어있어서 맛있게먹었어요. 전골도 칼칼하니 맛있고 모둠수육두 맛났어요~~^^,5,5,5,5,2020년 10월 20일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
64,백종원의인생설렁탕-경희대점,dj**님,"고기듬뿍 인생설렁탕/1,물국수/1,불스지/1",잘먹었어여 근데 양이 넘 적어여ㅠㅜ,5,5,2,5,2020년 10월 19일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
65,백종원의인생설렁탕-경희대점,손님,인생설렁탕＋불스지/1,배달도 빠르고 음식도 맛있어요!!! 특히 불스지 너무 맛있어요,5,5,5,5,2020년 10월 13일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
66,백종원의인생설렁탕-경희대점,rk**님,"설렁탕＋만두2ea/1,육쌈밀전/1",내가 왜 여기를 이제 알았는가... 국물이 좋아 울고... 고기가 적어 울었으나... 밀전이 날 웃음짓게 했다...,5,5,4,5,2020년 9월 21일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
67,백종원의인생설렁탕-경희대점,hw**님,스지설렁탕/1,잘 먹었습니다.,5,5,5,,2020년 9월 14일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
68,백종원의인생설렁탕-경희대점,rk**님,"인생설렁탕/2,육쌈밀전/1",잘먹었습니다,5,5,5,5,2020년 9월 13일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
69,백종원의인생설렁탕-경희대점,lh**님,인생설렁탕＋불스지/1,오우 처음시켜먹어봤는대 맛있어요ㅎㅎ 스지볶음 꿀맛,5,5,5,5,2020년 9월 12일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
70,백종원의인생설렁탕-경희대점,tl**님,설렁탕＋만두2ea/1,매장에서 먹었는데 맛있어서 배달 시켰어요! 맛있어용,5,5,5,5,2020년 9월 9일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
71,백종원의인생설렁탕-경희대점,se**님,"인생설렁탕/2,스지설렁탕/1",육수가 진하고 맛있어요 김치도 많이 보내주셨어요,5,5,5,5,2020년 9월 8일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
72,백종원의인생설렁탕-경희대점,손님,스지설렁탕＋만두2ea/1,배달도 빠르고 음식도 맛있어요!!,5,5,5,5,2020년 9월 6일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
73,백종원의인생설렁탕-경희대점,y2**님,"설렁탕＋만두2ea/1,인생설렁탕/1",맛있게 잘 먹었습니다~,5,5,5,5,2020년 9월 5일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
74,백종원의인생설렁탕-경희대점,rk**님,"비빔국수/1,육쌈밀전/1",맛있어요,5,5,5,5,2020년 9월 1일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
75,백종원의인생설렁탕-경희대점,rk**님,"인생설렁탕/1(사이드 추가(육쌈밀전)),비빔국수/1",맛나요,5,5,5,5,2020년 8월 14일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
76,백종원의인생설렁탕-경희대점,jj**님,"인생설렁탕/1,스지설렁탕/1,비빔국수/1",비빔국수가 참 맛있고요 김치가 맛있어요,5,5,5,5,2020년 7월 19일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
77,백종원의인생설렁탕-경희대점,손님,"비빔국수/2,물국수/3,육쌈밀전/1",고기 누린내가 많이 납니다.,3,3,5,5,2020년 7월 4일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
78,백종원의인생설렁탕-경희대점,rk**님,"인생설렁탕/1,비빔국수/1,육쌈밀전/1",설렁탕도괜찮고 비빔국수 달콤하니 맛있어요 밀전도존맛,5,5,5,5,2020년 7월 2일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
79,백종원의인생설렁탕-경희대점,sy**님,모둠수육/1(사이드 추가(공기밥)),💚💚💚💚💚💚💚💚💚💚,5,5,5,5,2020년 7월 1일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
80,백종원의인생설렁탕-경희대점,sy**님,모둠수육/1,정말 맛있어요😃😃😃😃😃😃😃,5,5,5,5,2020년 6월 15일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
81,백종원의인생설렁탕-경희대점,ju**님,스지설렁탕/2,백종원이란 브래드값어치 하네요^^,5,5,3,4,2020년 5월 24일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
82,백종원의인생설렁탕-경희대점,te**님,"인생설렁탕/1,물국수/1","배송이 정말 빨라서 놀랐어요, 음식도 정갈하고 맛도 담백해서 잘 먹었습니다!",4,4,4,5,2020년 4월 28일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
83,백종원의인생설렁탕-경희대점,ta**님,"인생설렁탕/1,스지설렁탕/1,모둠수육/1",배달도 빠르고 깊은맛도 있었어요ㅎㅎ,5,5,5,5,2020년 4월 14일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
84,백종원의인생설렁탕-경희대점,sk**님,"인생설렁탕/1,물국수/1",맛있습니다~~~~~,5,5,5,5,2020년 4월 12일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
85,맘스터치-경희대로점,ji**님,"화이트갈릭버거 세트/2(감자변경(어니언치즈감자로 변경)),디럭스불고기버거 세트/1(감자변경(어니언치즈감자로 변경)),케이준떡강정S/2",아주 맛있게 잘 먹었습니다.,5,5,5,5,2일 전,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
86,맘스터치-경희대로점,je**님,"싱글치킨세트/1(치킨선택(후라이드치킨반마리)),에그불고기버거 단품/1,치즈뿌치텐더 4조각/1,케이준양념감자（S）/1,치즈스틱（2조각）/1",잘 먹었습니다..앞으로 자주 이용할께요^^,4,4,4,4,3일 전,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
87,맘스터치-경희대로점,16**님,간장치킨버거세트（치즈볼）/1,세상에서 제일 맛없는 버거!!! 싸이버거 원가1000원?똥같아... 돈이 다 광고에 썼잖아... 치킨도 ...참...예상보다 별로...,1,1,4,5,4일 전,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
88,맘스터치-경희대로점,77**님,"치즈베이컨버거 단품/1,치즈뿌치텐더 4조각/1,바삭크림치즈볼（4조각）/1,케이준양념감자（R）/1",👍🏻👍🏻👍🏻👍🏻,5,5,5,5,6일 전,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
89,맘스터치-경희대로점,17**님,"싸이버거 단품/1,후라이드치킨 한마리/1,케이준양념감자（R）/1",맛있게 먹겠습니다!,5,5,5,5,2021년 2월 24일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
90,맘스터치-경희대로점,au**님,"불고기버거 세트/1,닭강정트리오A/1(추가선택(코울슬로))","닭 좋아하시는 분들은 가슴살과 다리살 구분 쉽게 하실 수 있을 겁니다. 어린아이들도 알지요. 가슴살은 특유의 식감으로(퍽퍽, 하얗고 가늘게 찢어지는) 호불호가 심하죠 닭다리살 100%라서 주문했습니다.. 그냥 믿고 먹겠습니다.",2,2,3,4,2021년 2월 21일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
91,맘스터치-경희대로점,wl**님,"커플통다리세트/1(치킨선택(후라이드통다리)),베이컨에그랩/1",잘먹었습니다,5,5,5,5,2021년 2월 8일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
92,맘스터치-경희대로점,zh**님,"후레이크갈릭치킨（하프）/1,언빌리버블버거 단품/1,케이준양념감자（중）/1",배달 빠르고 맛있습니다!,5,5,5,5,2021년 1월 11일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
93,맘스터치-경희대로점,hj**님,"싸이버거 세트/2,불고기버거 세트/1",생각보다 빠른 배달로 잘 먹었습니다.^,5,5,5,5,2020년 12월 31일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
94,맘스터치-경희대로점,eu**님,"찜햇닭（하프）/1(추가선택(떡강정추가)),딥치즈버거 세트/1,싸이버거 세트/1",오랜만에 맛있게 먹었네요... 사진은 아쉽게 못 찍었네요~,4,4,4,4,2020년 12월 20일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
95,맘스터치-경희대로점,ji**님,"케이준강정（레귤러）/1,화이트갈릭버거 세트/2(감자변경(어니언치즈감자로 변경)),디럭스불고기버거 세트/1(감자변경(어니언치즈감자로 변경))",오늘 넘 맛있게 잘 먹었습니다.,5,5,5,5,2020년 12월 17일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
96,맘스터치-경희대로점,ma**님,싸이버거 세트/3,시간을 딱 맞춰서 왔어요 맘스터치는 질리죠 맛있어요,5,5,5,5,2020년 11월 28일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
97,맘스터치-경희대로점,ch**님,간장마늘치킨（홀）/1,좋습니다!!!(๑•̀ㅂ•́)و✧,5,5,5,5,2020년 10월 7일,10:10 - 21:40,서울 동대문구 회기동 16-70 2층
